('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         646801 function calls (620515 primitive calls) in 1.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.126    0.001 default.py:102(__iter__)
      287    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1625(_ip_int_from_string)
       13    0.000    0.000    0.004    0.000 enum.py:638(_convert)
       15    0.000    0.000    0.002    0.000 dataclasses.py:476(_init_fn)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       13    0.000    0.000    0.000    0.000 typing.py:300(__new__)
        1    0.000    0.000    0.066    0.066 css_parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _client.py:572(Client)
        1    0.000    0.000    0.001    0.001 _client.py:1291(AsyncClient)
      334    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       60    0.000    0.000    0.002    0.000 abc.py:125(__new__)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       56    0.000    0.000    0.001    0.000 typing.py:445(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:1490(IO)
        1    0.000    0.000    0.000    0.000 interfaces.py:83(AsyncConnectionInterface)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       23    0.000    0.000    0.000    0.000 enum.py:157(<dictcomp>)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2198(_signature_from_callable)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      244    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      169    0.000    0.000    0.000    0.000 _connection.py:175(our_state)
        1    0.000    0.000    0.028    0.028 dammit.py:67(EntitySubstitution)
        8    0.000    0.000    0.000    0.000 enum.py:895(<listcomp>)
       51    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      193    0.000    0.000    0.000    0.000 enum.py:633(value)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
        2    0.000    0.000    0.093    0.047 _models.py:1(<module>)
    31/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 socket.py:139(__init__)
